date,title,amount
2026-05-25,Boiebrasa,"262,90"
2026-05-24,Mega Supermercado,"37,20"
2026-05-24,Kipao Kidelicia,"13,96"
2026-05-23,Pagamento recebido,"- 50,00"
2026-05-23,Espetinho do Dede,"25,00"
2026-05-23,iFood - NuPay,"33,99"
2026-05-22,Mariana da Carvalheir,"29,70"
2026-05-22,Val Massas Finas,"8,30"
2026-05-22,Apple Nordeste Comerci,"11,90"
2026-05-22,Pagamento recebido,"- 110,00"
2026-05-22,iFood - NuPay,"27,88"
2026-05-21,Uber - NuPay,"5,25"
2026-05-21,Uber - NuPay,"- 6,48"
2026-05-21,Uber - NuPay,"5,25"
2026-05-21,Uber - NuPay,"13,43"
2026-05-21,Uber - NuPay,"- 5,25"
2026-05-21,Uber - NuPay,"6,48"
2026-05-21,Ifd*Ifood Club,"7,95"
2026-05-21,Uber - NuPay,"6,48"
2026-05-20,Amazon,"3,25"
2026-05-17,Uber - NuPay,"10,50"
2026-05-17,Uber - NuPay,"- 10,50"
2026-05-16,Ebn *Adobe,"55,00"
2026-05-14,iFood - NuPay,"42,78"
2026-05-14,Uber - NuPay,"4,36"
2026-05-13,Claude.Ai Subscription,"114,45"
2026-05-13,"IOF de ""Claude.Ai Subscription""","4,00"
2026-05-12,Pagamento recebido,"- 100,00"
2026-05-12,Ec *Tradicaocoral - Parcela 1/3,"104,72"
2026-05-12,Parmadeli,"139,80"
2026-05-09,Ajs Bebidas,"21,99"
2026-05-09,Uber - NuPay,"4,06"
2026-05-09,Uber - NuPay,"5,49"
2026-05-09,Pague Menos - Parcela 1/10,"184,90"
2026-05-08,Uber - NuPay,"8,88"
2026-05-08,Uber - NuPay,"- 0,01"
2026-05-08,Uber - NuPay,"10,56"
2026-05-07,Uber - NuPay,"3,95"
2026-05-07,iFood - NuPay,"44,41"
2026-05-06,Uber - NuPay,"9,60"
2026-05-05,iFood - NuPay - 1/2,"20,65"
2026-05-04,Uber - NuPay,"3,36"
2026-05-04,Pet Love*Or10063355154,"89,17"
2026-05-03,Jairomendes,"108,77"
2026-05-02,Uber - NuPay,"4,34"
2026-05-02,Uber - NuPay,"5,48"
2026-05-02,Shopping Center Costa,"39,00"
2026-05-02,Burger King,"85,78"
2026-05-02,Pague Menos,"30,83"
2026-05-01,Uber - NuPay,"15,56"
2026-04-30,Amazon - Parcela 1/10,"79,99"
2026-04-30,Hubla *Pycodebr - Parcela 1/10,"52,92"
2026-04-29,Amazon - Parcela 1/10,"83,84"
2026-04-28,Uber - NuPay,"13,75"
2026-04-28,Uber - NuPay,"11,94"
2026-04-27,Zig*Arena Pernambuco,"32,00"
2026-04-27,Apple.Com/Bill.,"21,90"
2026-04-27,Excelenciagestao,"30,00"
2026-04-25,KaBuM! - NuPay - Parcela 10/10,"41,45"
2026-04-25,Extra Farma - Parcela 6/10,"109,90"
2026-04-25,Mercadolivre*Mercadol - Parcela 5/12,"27,39"
2026-04-25,Shopee *Wewelife - Parcela 4/10,"67,34"
2026-04-25,Mp *Tokesporte - Parcela 2/5,"89,76"
2026-04-25,Amazon BR V - NuPay - Parcela 2/6,"30,65"
2026-04-25,Santa Cruz Ecommerce - Parcela 5/12,"79,90"
2026-04-25,Vindi *Investidor10 - Parcela 6/12,"19,90"
2026-04-25,Amazon Retail Br Cpi - Parcela 2/2,"24,85"
2026-04-25,Mercadolivre*Slothspo - Parcela 3/12,"13,82"
2026-04-25,Farmacia Permanente - Parcela 4/10,"109,90"
2026-04-25,Mercadolivre*Mercadol - Parcela 5/6,"37,49"
2026-04-25,Amazon - Parcela 2/6,"30,50"
2026-04-25,Pagamento recebido,"- 2.051,60"
2026-04-25,Dm *Hostingercombr - Parcela 6/12,"9,86"
2026-04-25,Rb Brasil Artigos Espo - Parcela 3/5,"49,98"
